ID,Start time,Completion time,Name,Email,Title of Project,"Project Authors (separated by commas): e.g. Jane Doe, John Smith",Project Authors UCL email addresses (separated by commas),"Class module code: e.g. COMP0016, COMP0067, COMP0102",Team number if known,Internal UCL CS Academic Supervisor Name(s): e.g. Dr Graham Roberts,Client Name (if it is an industry IXN project) or External Academic Supervisor Name (research project),"Client Organisation: e.g. Intel, GOSH, Microsoft, NHS England, IBM","Technologies Used (e.g. C#, Azure, Unity, TensorFlow)","Field Area Keywords: e.g. Healthcare, ML, Data Science",Abstract: Not more than 150 words,GitHub or other repository link if it is open source/public,Video presentation link if available (any videos produced during the terms),Project Website URL or URLs with development images/short video clips relating to the project if it is available.,Non-UCL email addresses if you wish to be contacted in the future by IXN partners because of your work.,University
34,8/27/2020 8:57:40,12/5/2020 8:57:40,Cho Chang,chochang@hogwarts.ac.uk,Symbol Recognition Using Matlab,"Newton Scamander, Rolanda Hooch, Cho Chang",chochang@ucl.ac.uk,COMP0071,34,Luke Dickens,Apple,Apple,Accord.NET,Healthcare,"This is a project titled Symbol Recognition Using Matlab by Newton Scamander, Rolanda Hooch, Cho Chang. It was supervised by Luke Dickens for Apple",www.github.com/kjiJgDYe,www.youtube.com/watch?v=3y1QA6OeAcQ,www.ixnprojects.com/QsyYnwtzrDn,chochang@hogwarts.ac.uk,UCL
35,10/23/2019 9:02:56,1/31/2020 9:02:56,Luna Lovegood,lunalovegood@hogwarts.ac.uk,Preventing Phishing Attack On Voting System Using Visual Cryptography,"Cedric Diggory, Irma Pince, Luna Lovegood",lunalovegood@ucl.ac.uk,COMP0041,35,Denise Gorse,Citi,Citi,Theano,Computer Vision,"This is a project titled Preventing Phishing Attack On Voting System Using Visual Cryptography by Cedric Diggory, Irma Pince, Luna Lovegood. It was supervised by Denise Gorse for Citi",www.github.com/gZMiNCIj,www.youtube.com/watch?v=TATSAHJKRd8,www.ixnprojects.com/vapEenyFNEo,lunalovegood@hogwarts.ac.uk,Bristol
36,8/27/2020 8:35:55,12/5/2020 8:35:55,Gilderoy Lockhart,gilderoylockhart@hogwarts.ac.uk,Public News Droid,"Justin Finch-Fletchley, Aurora Sinistra, Gilderoy Lockhart",gilderoylockhart@ucl.ac.uk,COMP0033,36,Luke Dickens,JP Morgan,JP Morgan,ggplot2,Robotics,"This is a project titled Public News Droid by Justin Finch-Fletchley, Aurora Sinistra, Gilderoy Lockhart. It was supervised by Luke Dickens for JP Morgan",www.github.com/fJPDsVqN,www.youtube.com/watch?v=-9QYu8LtH2E,www.ixnprojects.com/lUmNnLxEOsp,gilderoylockhart@hogwarts.ac.uk,St. Andrews
37,12/7/2019 9:55:43,3/16/2020 9:55:43,Filius Flitwick,filiusflitwick@hogwarts.ac.uk,Card Payment Security Using RSA,"Zacharias Smith, Septima Vector, Filius Flitwick",filiusflitwick@ucl.ac.uk,COMP0054,37,Luke Dickens,Bosch,Bosch,Theano,Computer Vision,"This is a project titled Card Payment Security Using RSA by Zacharias Smith, Septima Vector, Filius Flitwick. It was supervised by Luke Dickens for Bosch",www.github.com/KYRieimi,www.youtube.com/watch?v=AjqaNQ018zU,www.ixnprojects.com/riuLahfPtao,filiusflitwick@hogwarts.ac.uk,KCL
38,2/18/2020 8:35:46,5/28/2020 8:35:46,Sybill Patricia Trelawney,sybillpatriciatrelawney@hogwarts.ac.uk,Search Engine Using Web Annotation,"Hannah Abbott, Wilhelmina Grubbly-Plank, Sybill Patricia Trelawney",sybillpatriciatrelawney@ucl.ac.uk,COMP0053,38,Luke Dickens,Credit Suisse,Credit Suisse,Theano,Computer Vision,"This is a project titled Search Engine Using Web Annotation by Hannah Abbott, Wilhelmina Grubbly-Plank, Sybill Patricia Trelawney. It was supervised by Luke Dickens for Credit Suisse",www.github.com/FHZMzOIn,www.youtube.com/watch?v=dXyO_MC9g3k,www.ixnprojects.com/OgRuNaJclcT,sybillpatriciatrelawney@hogwarts.ac.uk,Imperial
39,5/14/2020 9:41:38,8/22/2020 9:41:38,Garrick Ollivander,garrickollivander@hogwarts.ac.uk,Secure File Storage On Cloud Using Hybrid Cryptography,"Ernest Macmillan, Fenrir Greyback, Garrick Ollivander",garrickollivander@ucl.ac.uk,COMP0054,39,Dean Mohammedally,Deutsche Bank,Deutsche Bank,Feedforward Neural Network,Data Science,"This is a project titled Secure File Storage On Cloud Using Hybrid Cryptography by Ernest Macmillan, Fenrir Greyback, Garrick Ollivander. It was supervised by Dean Mohammedally for Deutsche Bank",www.github.com/OTsZnKgm,www.youtube.com/watch?v=d9m7d07k22A,www.ixnprojects.com/wDNNzJtmbMq,garrickollivander@hogwarts.ac.uk,UCL
40,10/24/2019 8:27:12,2/1/2020 8:27:12,Myrtle Elizabeth Warren (Moaning Myrtle),myrtleelizabethwarren(moaningmyrtle)@hogwarts.ac.uk,ATM Detail Security Using Image Steganography,"Susan Bones, Gellert Grindelwald, Myrtle Elizabeth Warren (Moaning Myrtle)",myrtleelizabethwarren(moaningmyrtle)@ucl.ac.uk,COMP0046,40,Denise Gorse,Google,Google,Feedforward Neural Network,Data Science,"This is a project titled ATM Detail Security Using Image Steganography by Susan Bones, Gellert Grindelwald, Myrtle Elizabeth Warren (Moaning Myrtle). It was supervised by Denise Gorse for Google",www.github.com/aVGStHnu,www.youtube.com/watch?v=Bchx0mS7XOY,www.ixnprojects.com/UDFQzZuHhni,myrtleelizabethwarren(moaningmyrtle)@hogwarts.ac.uk,Bristol
41,7/14/2020 9:08:21,10/22/2020 9:08:21,Padma Patil,padmapatil@hogwarts.ac.uk,Image Character Recognition Using Signal & Pattern Analysis,"Walden Macnair, Dobby, Padma Patil",padmapatil@ucl.ac.uk,COMP0023,41,Denise Gorse,Santander,Santander,Recurrent Neural Network(RNN) – Long Short Term Memory,Architecture,"This is a project titled Image Character Recognition Using Signal & Pattern Analysis by Walden Macnair, Dobby, Padma Patil. It was supervised by Denise Gorse for Santander",www.github.com/VakjLitA,www.youtube.com/watch?v=zxT8CM8XntA,www.ixnprojects.com/KNzSsEgFMTw,padmapatil@hogwarts.ac.uk,St. Andrews
42,3/20/2020 8:04:06,6/28/2020 8:04:06,Michael Corner,michaelcorner@hogwarts.ac.uk,Image Steganography Using Kmeans & Encryption,"Augustus Rookwood, Kreacher, Michael Corner",michaelcorner@ucl.ac.uk,COMP0052,42,Anthony Hunter,Intel,Intel,BigML,Healthcare,"This is a project titled Image Steganography Using Kmeans & Encryption by Augustus Rookwood, Kreacher, Michael Corner. It was supervised by Anthony Hunter for Intel",www.github.com/WyPfAzko,www.youtube.com/watch?v=bCBYJZ6QbUI,www.ixnprojects.com/bwxHmSLgVtb,michaelcorner@hogwarts.ac.uk,KCL
43,2/15/2020 8:59:10,5/25/2020 8:59:10,Marietta Edgecombe,mariettaedgecombe@hogwarts.ac.uk,Implementing Triple DES With OTP,"Antonin Dolohov, Bellatrix Lestrange, Marietta Edgecombe",mariettaedgecombe@ucl.ac.uk,COMP0041,43,Dean Mohammedally,BenevolentAI,BenevolentAI,MATLAB,Data Science,"This is a project titled Implementing Triple DES With OTP by Antonin Dolohov, Bellatrix Lestrange, Marietta Edgecombe. It was supervised by Dean Mohammedally for BenevolentAI",www.github.com/DHnXLHIX,www.youtube.com/watch?v=-tIdzNlExrw,www.ixnprojects.com/TvftuEYVWxv,mariettaedgecombe@hogwarts.ac.uk,UCL
44,11/27/2019 9:31:37,3/6/2020 9:31:37,Terry Boot,terryboot@hogwarts.ac.uk,Mobile Wallet With Merchant Payment Using Android,"Corban Yaxley, Horace Eugene Flaccus Slughorn, Terry Boot",terryboot@ucl.ac.uk,COMP0065,44,Luke Dickens,Blockchain,Blockchain,MATLAB,Computer Vision,"This is a project titled Mobile Wallet With Merchant Payment Using Android by Corban Yaxley, Horace Eugene Flaccus Slughorn, Terry Boot. It was supervised by Luke Dickens for Blockchain",www.github.com/sufBNgUw,www.youtube.com/watch?v=hnoMsftQPY8,www.ixnprojects.com/mYkQmqlxImb,terryboot@hogwarts.ac.uk,Bristol
45,3/22/2020 9:31:44,6/30/2020 9:31:44,Anthony Goldstein,anthonygoldstein@hogwarts.ac.uk,Online user Behavior Analysis On Graphical Model,"Igor Karkaroff, Narcissa Malfoy, Anthony Goldstein",anthonygoldstein@ucl.ac.uk,COMP0064,45,Chris Clack,Darktrace,Darktrace,Torch,Robotics,"This is a project titled Online user Behavior Analysis On Graphical Model by Igor Karkaroff, Narcissa Malfoy, Anthony Goldstein. It was supervised by Chris Clack for Darktrace",www.github.com/EUXDXLFe,www.youtube.com/watch?v=JDcro7dPqpA,www.ixnprojects.com/nEOyGZkvBRX,anthonygoldstein@hogwarts.ac.uk,St. Andrews
46,11/16/2019 8:21:35,2/24/2020 8:21:35,Severus Snape,severussnape@hogwarts.ac.uk,Fingerprint Authenticated Secure Android Notes,"Kingsley Shacklebolt, Pansy Parkinson, Severus Snape",severussnape@ucl.ac.uk,COMP0030,46,Chris Clack,Deliveroo,Deliveroo,Theano,Computer Vision,"This is a project titled Fingerprint Authenticated Secure Android Notes by Kingsley Shacklebolt, Pansy Parkinson, Severus Snape. It was supervised by Chris Clack for Deliveroo",www.github.com/ViTKDowo,www.youtube.com/watch?v=0lTczPEG8iI,www.ixnprojects.com/zUcvTpLmbNW,severussnape@hogwarts.ac.uk,KCL
47,8/24/2020 9:27:43,12/2/2020 9:27:43,Draco Malfoy,dracomalfoy@hogwarts.ac.uk,Student Grade Prediction Using C4.5 Decision Tree,"Alastor Moody, Tom Marvolo Riddle, Draco Malfoy",dracomalfoy@ucl.ac.uk,COMP0020,47,Chris Clack,Elvie,Elvie,BigML,Computer Vision,"This is a project titled Student Grade Prediction Using C4.5 Decision Tree by Alastor Moody, Tom Marvolo Riddle, Draco Malfoy. It was supervised by Chris Clack for Elvie",www.github.com/gIJvWftq,www.youtube.com/watch?v=f4fVdf4pNEc,www.ixnprojects.com/VcLmAsjUzyU,dracomalfoy@hogwarts.ac.uk,Imperial
48,5/19/2020 9:21:50,8/27/2020 9:21:50,Vincent Crabbe,vincentcrabbe@hogwarts.ac.uk,Android Smart City Traveler,"Alice Longbottom, Rodolphus Lestrange, Vincent Crabbe",vincentcrabbe@ucl.ac.uk,COMP0044,48,Yun Fu,Snyk,Snyk,Microsoft Cognitive Toolkit,Healthcare,"This is a project titled Android Smart City Traveler by Alice Longbottom, Rodolphus Lestrange, Vincent Crabbe. It was supervised by Yun Fu for Snyk",www.github.com/vsWZHJns,www.youtube.com/watch?v=YMBj_tU7HRU,www.ixnprojects.com/AnLxJfYnSnr,vincentcrabbe@hogwarts.ac.uk,UCL
49,2/6/2020 8:12:41,5/16/2020 8:12:41,Gregory Goyle,gregorygoyle@hogwarts.ac.uk,Android Campus Portal With Graphical Reporting,"Frank Longbottom, Graham Montague, Gregory Goyle",gregorygoyle@ucl.ac.uk,COMP0061,49,Denise Gorse,Improbable,Improbable,Tableau,Architecture,"This is a project titled Android Campus Portal With Graphical Reporting by Frank Longbottom, Graham Montague, Gregory Goyle. It was supervised by Denise Gorse for Improbable",www.github.com/zUWRGSNO,www.youtube.com/watch?v=-qCKR6wy94U,www.ixnprojects.com/sIzSgNvtHAH,gregorygoyle@hogwarts.ac.uk,Bristol
50,6/13/2020 9:09:03,9/21/2020 9:09:03,Godric Griffindor,godricgriffindor@hogwarts.ac.uk,Smart Health Prediction Using Data Mining,"Godric Griffindor, Helga Hufflepuff, Salazar Slytherin",godricgriffindor@ucl.ac.uk,COMP0040,50,Dean Mohammedally,OakNorth Bank,OakNorth Bank,Torch,Data Science,"This is a project titled Smart Health Prediction Using Data Mining by Godric Griffindor, Helga Hufflepuff, Salazar Slytherin. It was supervised by Dean Mohammedally for OakNorth Bank",www.github.com/rJsdnKeIDNs,www.youtube.com/watch?v=jCC8fPQOaxU,www.ixnprojects.com/XeADVHoynII,godricgriffindor@hogwarts.ac.uk,St. Andrews
